id	name	yomi	category
0305	浜崎	あゆみはまさき あゆみ	歌手
0306	松任谷由実	まつとうや ゆみ	歌手
0307	中島	みゆきなかじま みゆき	歌手
0308	桑田佳祐	くわた けいすけ	歌手
0309	福山雅治	ふくやま まさはる	歌手
0310	山下達郎	やました たつろう	歌手
0311	竹内	まりやたけうち まりや	歌手
0312	平井堅	ひらい けん	歌手
0313	小田和正	おだ かずまさ	歌手
0314	藤井風	ふじい かぜ	歌手
0315	Ado	あど	歌手
0316	LiSA	りさ	歌手
0317	GACKT	がくと	歌手
0318	西川貴教	にしかわ たかのり	歌手
0319	中島美嘉	なかしま みか	歌手
0320	家入	レオいえいり れお	歌手
0321	yama	やま	歌手
0322	優里	ゆうり	歌手
0323	大塚愛	おおつか あい	歌手
0324	絢香	あやか	歌手
0401	B'z 稲葉浩志	いなば ひろし	バンドメンバー
0402	B'z 松本孝弘	まつもと たかひろ	バンドメンバー
0403	ミスチル 桜井和寿	さくらい かずとし	バンドメンバー
0404	Official髭男dism 藤原聡	ふじわら さとし	バンドメンバー
0405	King Gnu 常田大希	つねた だいき	バンドメンバー
0406	King Gnu 井口理	いぐち さとる	バンドメンバー
0407	YOASOBI Ayase	あやせ	バンドメンバー
0408	YOASOBI 幾田	りらいくた りら	バンドメンバー
0409	SEKAI NO OWARI Fukase	ふかせ	バンドメンバー
0501	乃木坂 与田祐希	よだ ゆうき	アイドル（女性）
0502	乃木坂 山下美月	やました みづき	アイドル（女性）
0503	乃木坂 賀喜遥香	かき はるか	アイドル（女性）
0504	乃木坂 遠藤	さくらえんどう さくら	アイドル（女性）
0505	乃木坂 梅澤美波	うめざわ みなみ	アイドル（女性）
0510	櫻坂 森田	ひかるもりた ひかる	アイドル（女性）
0511	櫻坂 山﨑天	やまざき てん	アイドル（女性）
0520	日向坂 齊藤京子	さいとう きょうこ	アイドル（女性）
0521	日向坂 小坂菜緒	こさか なお	アイドル（女性）
0530	AKB 向井地美音	むかいち みおん	アイドル（女性）
0531	AKB 柏木由紀	かしわぎ ゆき	アイドル（女性）
0540	Perfume あ〜	ちゃんあーちゃん	アイドル（女性）
0541	Perfume	かしゆかかしゆか	アイドル（女性）
0542	Perfume	のっちのっち	アイドル（女性）
0601	SixTONES	ジェシーじぇしー	アイドル（男性）
0602	SixTONES 京本大我	きょうもと たいが	アイドル（男性）
0603	SixTONES 松村北斗	まつむら ほくと	アイドル（男性）
0604	SixTONES 田中樹	たなか じゅり	アイドル（男性）
0605	SixTONES 森本慎太郎	もりもと しんたろう	アイドル（男性）
0610	Snow Man 目黒蓮	めぐろ れん	アイドル（男性）
0611	Snow Man	ラウールらうーる	アイドル（男性）
0612	Snow Man 渡辺翔太	わたなべ しょうた	アイドル（男性）
0613	Snow Man 阿部亮平	あべ りょうへい	アイドル（男性）
0620	なにわ男子 西畑大吾	にしはた だいご	アイドル（男性）
0621	なにわ男子 道枝駿佑	みちえだ しゅんすけ	アイドル（男性）
0701	花澤香菜	はなざわ かな	声優
0702	水瀬	いのりみなせ いのり	声優
0703	佐倉綾音	さくら あやね	声優
0704	早見沙織	はやみ さおり	声優
0705	神谷浩史	かみや ひろし	声優
0706	杉田智和	すぎた ともかず	声優
0707	梶裕貴	かじ ゆうき	声優
0708	宮野真守	みやの まもる	声優
